		1	2	3	4	5	6	7	8	9	10	
P1	0	130	137	125	145	128	138	148	137	172	156	182	
P2	0	8718	8637	7129	6683	7529	6644	6263	6011	5928	4940	5114	
P3	0	11227	10759	10866	9725	8354	7156	6736	6810	5959	6118	5609	
P4	0	3560	3382	3531	4177	4150	4236	3904	4187	4039	4194	4582	
P5	0	916	979	1270	1456	1796	1941	2058	2060	1900	1800	1802	
P6	0	13477	12803	11037	10673	10377	8571	6131	5390	7254	9663	11423	
P7	0	7653	7499	13958	16453	8856	8467	10802	17886	13792	13101	18983	
P8	0	1476	1476	1571	1480	1672	1840	1654	1736	1729	2038	1861	
P9	0	8887	7817	7820	7342	7747	6635	5990	5691	6220	5315	5002	
P10	0	12604	12604	11687	12581	14915	12982	9806	11021	7054	9356	7909	
P11	0	1207	1349	1358	1755	2176	2331	2637	3122	3040	3133	3876	
P12	0	8116	6924	7187	5747	4975	3657	4199	5133	6857	6848	7847	
P13	0	6834	7119	7139	6518	5411	4695	4228	3668	3553	3758	2975	
P14	0	8860	8948	7655	6946	6760	5209	4119	3792	5408	6668	7970	
P15	0	6916	7123	15416	15576	7919	8913	8749	16486	10717	12217	16818	
P16	0	5083	4753	6225	7765	9248	9118	9987	13142	14817	14949	17267	
P17	0	1773	1826	1628	1770	2057	1773	1222	1740	1149	1130	939	
P18	0	11481	12916	10342	10347	9907	8457	6530	6027	5970	5510	4946	
P19	0	9281	9397	7239	6443	5637	4466	4750	5933	7691	9397	10452	
P20	0	7170	7568	8324	10455	10818	12594	14355	16211	14499	18669	15741	
P21	0	1019	1029	1010	1152	1087	1097	1236	1247	1143	1368	1417	
P22	0	850	807	834	832	916	850	611	758	495	553	454	
P23	0	11776	11702	10046	8905	7220	5255	6756	8176	9185	11702	13137	
P24	0	8380	9218	18509	16127	9797	10391	10601	19974	14678	16024	21599	
P25	0	8390	7802	7321	8067	10813	7634	6096	8159	4596	5875	4781	
P26	0	17907	19773	15788	16139	13042	13445	11975	11490	9312	9848	8945	
P27	0	7847	8500	8046	7003	6708	6113	4511	4714	4165	3530	3703	
P28	0	3046	3375	3465	4608	5751	6534	6850	7214	8799	8696	10253	
P29	0	17611	19629	18228	16488	14081	13597	11007	10170	8585	9597	8072	
P30	0	15869	16364	16120	13468	11557	11914	9719	9997	8595	8330	7927	
P31	0	2342	2365	5124	4795	3047	3074	3398	5691	3786	4222	5808	
P32	0	278	242	239	244	236	196	197	180	173	187	181	
P33	0	4358	4703	5601	6789	7532	9407	10583	9889	9303	8643	7516	
P34	0	246	272	288	383	459	460	547	600	665	673	759	
P35	0	1772	1948	2323	2842	3442	3609	4466	3634	4041	3723	3385	
P36	0	16160	15486	14557	13008	12920	11560	10201	9426	8052	7999	7480	
P37	0	16227	17038	14896	11812	11812	10125	7301	7009	8644	11866	14597	
P38	0	17593	18143	16860	16317	15320	13209	11655	10570	8672	9499	7337	
P39	0	591	626	611	618	637	609	655	766	773	749	815	
P40	0	3298	3232	6748	6414	3775	3968	4215	8168	5165	6065	7618	
P41	0	1757	1896	2326	2603	3257	3328	3664	3988	3351	3174	3586	
P42	0	4964	4616	4667	5506	5405	6132	5559	5897	6550	6915	6065	
P43	0	1313	1413	1717	1805	1920	2081	2381	2970	2919	2980	2745	
P44	0	9228	9781	8640	8958	11245	9043	6908	7822	5165	6463	5525	
P45	0	11711	10657	10220	11046	12349	11476	9283	10240	7314	8036	6067	
P46	0	1372	1325	1613	1832	2332	2489	3146	3151	3929	3680	4064	
P47	0	475	491	581	653	703	859	906	1045	972	1136	1074	
P48	0	3862	3475	8452	8460	5027	4366	4884	8573	5983	7103	9766	
P49	0	2081	2101	2064	2397	2311	2123	2355	2647	2618	2820	2895	
P50	0	14650	15382	13976	10665	9537	9493	7618	5684	7561	10922	13559	
P51	0	3924	4349	4652	5232	5981	6960	7708	8469	8894	10030	9029	
P52	0	3833	3629	5121	6322	7103	7571	9045	7610	8262	7301	7464	
P53	0	13438	13065	13139	12591	11826	10870	10252	9928	8511	8884	8520	
P54	0	2480	2139	1954	1722	1381	1052	1395	1858	2015	2418	2608	
P55	0	3708	3522	8041	8124	4201	4148	4839	8233	5871	6213	9468	
P56	0	166	162	221	278	290	368	372	358	347	339	280	
P57	0	3345	3445	2767	3370	4076	3110	2479	3104	1773	2202	2118	
P58	0	148	147	204	241	256	320	306	291	331	299	302	
P59	0	2422	2243	2303	2145	1934	1733	1686	1635	1647	1372	1449	
P60	0	2299	2281	2585	3416	3898	4237	4560	4253	5467	5383	4659	
P61	0	4838	5369	6773	7685	9053	10444	10863	11190	11031	10166	8615	
P62	0	2538	2373	2052	2010	1861	1895	1748	1625	1556	1534	1504	
P63	0	3813	3489	5100	5486	6480	7436	8492	9216	10611	11325	10696	
P64	0	11112	11459	9029	7028	6501	4520	5688	7869	8848	9584	12751	
P65	0	4394	4429	5983	6442	8142	9484	9663	10449	8924	8196	7660	
P66	0	4269	4439	4676	4371	4789	4887	5479	4815	4897	5245	5550	
P67	0	2920	3032	3716	4102	4942	5648	7090	6753	6354	5963	5415	
